Rank,Title,Genre,Studio
26,JUJUTSU KAISEN,"['Action', 'Drama', 'Supernatural']",MAPPA
27,Bless,['Slice of Life'],A-1 Pictures
28,Champignon Witch,"['Drama', 'Fantasy', 'Supernatural']","Qzil.la, TYPHOON GRAPHICS"
29,My Dress-Up Darling Season 2,"['Comedy', 'Ecchi', 'Romance', 'Slice of Life']",CloverWorks
30,The Darwin Incident,"['Sci-Fi', 'Thriller']",BELLNOX FILMS
31,Frieren: Beyond Journey’s End,"['Adventure', 'Drama', 'Fantasy']",MADHOUSE
32,BAKI-DOU: The Invincible Samurai,"['Action', 'Sports']",TMS Entertainment
33,Attack on Titan,"['Action', 'Drama', 'Fantasy', 'Mystery']",WIT STUDIO
34,Fullmetal Alchemist: Brotherhood,"['Action', 'Adventure', 'Drama', 'Fantasy']",bones
35,The Fragrant Flower Blooms With Dignity,"['Comedy', 'Drama', 'Romance']",CloverWorks
36,My Hero Academia: Vigilantes Season 2,"['Action', 'Adventure', 'Drama', 'Fantasy']",bones film
37,MF GHOST Season 3,['Sports'],Felix Film
38,JUJUTSU KAISEN Season 2,"['Action', 'Drama', 'Supernatural']",MAPPA
39,Chainsaw Man,"['Action', 'Drama', 'Horror', 'Supernatural']",MAPPA
40,Neon Genesis Evangelion,"['Action', 'Drama', 'Mecha', 'Mystery', 'Psychological', 'Sci-Fi']","Gainax, Tatsunoko Production"
41,In the Clear Moonlit Dusk,"['Romance', 'Slice of Life']","East Fish Studio, Atelier Peuplier"
42,Scooped Up by an S-Rank Adventurer!,"['Action', 'Adventure', 'Fantasy']",Felix Film
43,Love Through A Prism,"['Drama', 'Romance']",WIT STUDIO
44,Tune In to the Midnight Heart,"['Comedy', 'Romance']",Gekkou
45,Naruto: Shippuden,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Supernatural']",Studio Pierrot
46,Cosmic Princess Kaguya!,"['Action', 'Comedy', 'Drama', 'Fantasy', 'Music', 'Sci-Fi']","Studio Colorido, Studio Chromato"
47,Wash It All Away,"['Comedy', 'Romance', 'Slice of Life']",Okuruto Noboru
48,My Hero Academia FINAL SEASON,"['Action', 'Adventure']",bones film
49,Chainsaw Man – The Movie: Reze Arc,"['Action', 'Drama', 'Horror', 'Romance', 'Supernatural']",MAPPA
50,The Apothecary Diaries,"['Drama', 'Mystery']","OLM, TOHO animation STUDIO"
Rank,Title,Genre,Studio
1,Frieren: Beyond Journey’s End Season 2,"['Adventure', 'Drama', 'Fantasy']",MADHOUSE
2,Fate/strange Fake,"['Action', 'Adventure', 'Fantasy', 'Mystery', 'Supernatural']",A-1 Pictures
3,JUJUTSU KAISEN Season 3: The Culling Game Part 1,"['Action', 'Drama', 'Supernatural']",MAPPA
4,Sentenced to Be a Hero,"['Action', 'Comedy', 'Drama', 'Fantasy']",Studio KAI
5,Medalist Season 2,"['Drama', 'Psychological', 'Sports']",ENGI
6,Fire Force Season 3 Part 2,"['Action', 'Drama', 'Sci-Fi', 'Supernatural']",David Production
7,Reincarnated as a Dragon Hatchling,"['Action', 'Adventure', 'Fantasy']","GA-CREW, Felix Film"
8,To Your Eternity Season 3,"['Adventure', 'Drama', 'Fantasy', 'Psychological', 'Supernatural']","Drive, Studio Massket"
9,【OSHI NO KO】Season 3,"['Drama', 'Mystery', 'Psychological', 'Supernatural']",Doga Kobo
10,ONE PIECE,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy']",Toei Animation
11,TRIGUN STARGAZE,"['Action', 'Comedy', 'Drama', 'Sci-Fi']",Orange
12,Dead Account,"['Action', 'Supernatural']",SynergySP
13,Hell’s Paradise Season 2,"['Action', 'Adventure', 'Mystery', 'Supernatural']",MAPPA
14,GNOSIA,"['Drama', 'Mystery', 'Sci-Fi', 'Thriller']",domerica
15,Tojima Wants to Be a Kamen Rider,"['Action', 'Comedy']",LIDENFILMS
16,Scum of the Brave,"['Action', 'Comedy', 'Drama', 'Fantasy', 'Sci-Fi']",OLM
17,HELL MODE: The Hardcore Gamer Dominates in Another World with Garbage Balancing,"['Action', 'Adventure', 'Fantasy']",Yokohama Animation Lab
18,A Misanthrope Teaches a Class for Demi-Humans,"['Comedy', 'Drama', 'Fantasy', 'Romance', 'Slice of Life']",Asread
19,BEASTARS Final Season Part 2,"['Drama', 'Mystery', 'Psychological', 'Slice of Life']",Orange
20,Gachiakuta,"['Action', 'Drama', 'Fantasy']",bones film
21,Chained Soldier Season 2,"['Action', 'Adventure', 'Drama', 'Ecchi', 'Fantasy', 'Romance']","Passione, Hayabusa Film"
22,"Jack-of-All-Trades, Party of None","['Action', 'Adventure', 'Fantasy']",animation studio42
23,You and I Are Polar Opposites,"['Comedy', 'Drama', 'Romance', 'Slice of Life']",Lapin Track
24,Tamon's B-Side,"['Comedy', 'Romance']",J.C.STAFF
25,SHIBOYUGI: Playing Death Games to Put Food on the Table,"['Action', 'Drama', 'Mystery', 'Thriller']",Studio DEEN
